close,datetime,exchange_code,expiry_date,high,low,open,open_interest,product_type,right,stock_code,strike_price,volume
242.05,2023-07-19 11:00:00,NFO,28-SEP-2023,250.4,237.8,249.15,19150,Options,Call,NIFTY,20300.0,22950
239.4,2023-07-19 11:30:00,NFO,28-SEP-2023,245.0,239.4,242.05,19400,Options,Call,NIFTY,20300.0,200
248.0,2023-07-19 12:00:00,NFO,28-SEP-2023,248.0,239.4,239.4,19400,Options,Call,NIFTY,20300.0,150
252.05,2023-07-19 12:30:00,NFO,28-SEP-2023,252.05,248.0,248.0,19450,Options,Call,NIFTY,20300.0,500
251.3,2023-07-19 13:00:00,NFO,28-SEP-2023,255.45,249.45,252.05,19450,Options,Call,NIFTY,20300.0,1100
254.35,2023-07-19 13:30:00,NFO,28-SEP-2023,254.35,246.3,251.3,19450,Options,Call,NIFTY,20300.0,1300
250.15,2023-07-19 14:00:00,NFO,28-SEP-2023,254.35,249.95,254.35,19450,Options,Call,NIFTY,20300.0,400
249.9,2023-07-19 14:30:00,NFO,28-SEP-2023,250.4,248.45,250.15,19550,Options,Call,NIFTY,20300.0,550
275.1,2023-07-19 15:00:00,NFO,28-SEP-2023,275.1,249.9,249.9,19600,Options,Call,NIFTY,20300.0,4100
262.95,2023-07-20 09:00:00,NFO,28-SEP-2023,275.1,256.85,275.1,20750,Options,Call,NIFTY,20300.0,550
258.25,2023-07-20 09:30:00,NFO,28-SEP-2023,270.9,253.05,262.95,20800,Options,Call,NIFTY,20300.0,1600
263.25,2023-07-20 10:00:00,NFO,28-SEP-2023,267.5,255.65,258.25,20900,Options,Call,NIFTY,20300.0,2400
270.1,2023-07-20 10:30:00,NFO,28-SEP-2023,275.5,263.25,263.25,21050,Options,Call,NIFTY,20300.0,950
267.2,2023-07-20 11:00:00,NFO,28-SEP-2023,270.1,267.2,270.1,20950,Options,Call,NIFTY,20300.0,50
282.4,2023-07-20 11:30:00,NFO,28-SEP-2023,282.4,267.2,267.2,21000,Options,Call,NIFTY,20300.0,350
281.0,2023-07-20 12:00:00,NFO,28-SEP-2023,282.4,276.65,282.4,21000,Options,Call,NIFTY,20300.0,150
