www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Mon Jul 17 2023 13:10:00 GMT+0530 (India Standard Time),479.4,479.4,349.4,397.95,393,360
Mon Jul 17 2023 13:15:00 GMT+0530 (India Standard Time),369.9,392,338.2,392,525,180
Mon Jul 17 2023 13:35:00 GMT+0530 (India Standard Time),400,400,398,398,30,120
Mon Jul 17 2023 14:05:00 GMT+0530 (India Standard Time),424,424,424,424,225,135
Mon Jul 17 2023 14:10:00 GMT+0530 (India Standard Time),409.65,409.65,409.65,409.65,15,345
Mon Jul 17 2023 14:15:00 GMT+0530 (India Standard Time),430.15,431.05,430.15,431.05,60,345
Mon Jul 17 2023 14:20:00 GMT+0530 (India Standard Time),430.15,436.05,430.15,431.95,105,450
Mon Jul 17 2023 14:25:00 GMT+0530 (India Standard Time),435,435,435,435,30,510
Mon Jul 17 2023 14:30:00 GMT+0530 (India Standard Time),435,435,425.8,425.8,60,570
Mon Jul 17 2023 14:35:00 GMT+0530 (India Standard Time),435.55,435.55,435,435,135,570
Mon Jul 17 2023 14:45:00 GMT+0530 (India Standard Time),464.95,464.95,464.95,464.95,75,585
Mon Jul 17 2023 14:50:00 GMT+0530 (India Standard Time),498.4,500,488.25,500,600,1170
Mon Jul 17 2023 14:55:00 GMT+0530 (India Standard Time),500,500,500,500,15,1125
Mon Jul 17 2023 15:00:00 GMT+0530 (India Standard Time),506.6,506.6,506.6,506.6,45,1125
Mon Jul 17 2023 15:05:00 GMT+0530 (India Standard Time),546.35,546.35,546.35,546.35,30,1095
Mon Jul 17 2023 15:10:00 GMT+0530 (India Standard Time),627.3,627.3,598.85,598.85,645,1095
Mon Jul 17 2023 15:15:00 GMT+0530 (India Standard Time),618.15,622.7,600.05,604.45,300,750
Mon Jul 17 2023 15:20:00 GMT+0530 (India Standard Time),604.45,615,600,609.4,420,900
Mon Jul 17 2023 15:25:00 GMT+0530 (India Standard Time),601.1,607.05,592,607,75,1125
Tue Jul 18 2023 09:15:00 GMT+0530 (India Standard Time),650,792.4,650,788.65,151,1155
Tue Jul 18 2023 09:20:00 GMT+0530 (India Standard Time),791.5,851.9,791.5,823.65,120,1125
Tue Jul 18 2023 09:25:00 GMT+0530 (India Standard Time),832.5,848.55,832.5,840.05,1050,1125
Tue Jul 18 2023 09:30:00 GMT+0530 (India Standard Time),803.8,803.8,793.75,793.75,30,2145
