www.gocharting.com,,,,,,
,,,,,,
date,open,high,low,close,volume,open_interest
Mon Jul 17 2023 09:15:00 GMT+0530 (India Standard Time),635.7,635.7,425,425,76,45
Mon Jul 17 2023 09:30:00 GMT+0530 (India Standard Time),410,410,410,410,15,60
Mon Jul 17 2023 10:45:00 GMT+0530 (India Standard Time),410,410,410,410,15,60
Mon Jul 17 2023 14:45:00 GMT+0530 (India Standard Time),598.1,598.1,598.1,598.1,15,75
Mon Jul 17 2023 15:00:00 GMT+0530 (India Standard Time),610,610,610,610,30,90
Mon Jul 17 2023 15:15:00 GMT+0530 (India Standard Time),640.65,640.65,640.65,640.65,15,60
Tue Jul 18 2023 09:15:00 GMT+0530 (India Standard Time),1083.1,1083.1,941,941,31,60
Wed Jul 19 2023 12:15:00 GMT+0530 (India Standard Time),769,769,769,769,16,75
Wed Jul 19 2023 12:30:00 GMT+0530 (India Standard Time),769,769,769,769,15,90
Wed Jul 19 2023 13:30:00 GMT+0530 (India Standard Time),750,750,750,750,15,105
Wed Jul 19 2023 14:45:00 GMT+0530 (India Standard Time),750,750,727.45,727.45,45,135
Thu Jul 20 2023 09:30:00 GMT+0530 (India Standard Time),810,844.2,810,844.2,31,150
Thu Jul 20 2023 10:15:00 GMT+0530 (India Standard Time),844.2,844.2,844.2,844.2,15,165
Thu Jul 20 2023 12:00:00 GMT+0530 (India Standard Time),800,800,800,800,15,165
Thu Jul 20 2023 13:45:00 GMT+0530 (India Standard Time),960,960,960,960,45,165
Thu Jul 20 2023 14:00:00 GMT+0530 (India Standard Time),1070,1071.35,1070,1071.35,60,150
Thu Jul 20 2023 14:15:00 GMT+0530 (India Standard Time),1075,1075,1075,1075,45,195
Thu Jul 20 2023 14:45:00 GMT+0530 (India Standard Time),1075,1075,999.95,1000,345,210
Thu Jul 20 2023 15:15:00 GMT+0530 (India Standard Time),1032.7,1032.7,1032.7,1032.7,105,540
Fri Jul 21 2023 09:15:00 GMT+0530 (India Standard Time),1096,1135,1095.95,1135,106,570
Fri Jul 21 2023 09:30:00 GMT+0530 (India Standard Time),1135,1135,1135,1135,15,570
Fri Jul 21 2023 09:45:00 GMT+0530 (India Standard Time),1060,1060,1060,1060,30,540
Fri Jul 21 2023 11:15:00 GMT+0530 (India Standard Time),990,990,990,990,15,540
Fri Jul 21 2023 12:15:00 GMT+0530 (India Standard Time),990,1015,990,995,510,570
Fri Jul 21 2023 13:30:00 GMT+0530 (India Standard Time),1120,1120,1120,1120,15,585
Fri Jul 21 2023 14:15:00 GMT+0530 (India Standard Time),1044.8,1044.8,1044.8,1044.8,15,585
Fri Jul 21 2023 14:45:00 GMT+0530 (India Standard Time),1019.5,1019.5,1019.5,1019.5,15,600
Fri Jul 21 2023 15:00:00 GMT+0530 (India Standard Time),975,1047,975,1047,480,465
Mon Jul 24 2023 09:15:00 GMT+0530 (India Standard Time),1000,1000,1000,1000,31,465
Mon Jul 24 2023 11:00:00 GMT+0530 (India Standard Time),1050,1050,1050,1050,15,465
Mon Jul 24 2023 12:30:00 GMT+0530 (India Standard Time),1050,1050,900,900,225,360
Mon Jul 24 2023 13:30:00 GMT+0530 (India Standard Time),941,941,941,941,30,465
Tue Jul 25 2023 10:15:00 GMT+0530 (India Standard Time),964.1,964.1,901,901,151,510
Tue Jul 25 2023 10:30:00 GMT+0530 (India Standard Time),908.6,908.6,908.6,908.6,15,420
Tue Jul 25 2023 11:00:00 GMT+0530 (India Standard Time),872,872,872,872,105,405
Tue Jul 25 2023 11:30:00 GMT+0530 (India Standard Time),861,861,861,861,60,390
Tue Jul 25 2023 12:00:00 GMT+0530 (India Standard Time),850,850,850,850,225,390
Tue Jul 25 2023 13:30:00 GMT+0530 (India Standard Time),770.35,770.35,732.85,743,315,615
Tue Jul 25 2023 13:45:00 GMT+0530 (India Standard Time),743,743,743,743,30,675
Tue Jul 25 2023 14:00:00 GMT+0530 (India Standard Time),764.9,764.9,764,764,30,705
Tue Jul 25 2023 14:15:00 GMT+0530 (India Standard Time),795.3,800,795.2,800,165,705
Tue Jul 25 2023 14:30:00 GMT+0530 (India Standard Time),882.4,882.4,882.4,882.4,45,780
Tue Jul 25 2023 14:45:00 GMT+0530 (India Standard Time),882.4,882.4,882.4,882.4,360,825
Tue Jul 25 2023 15:00:00 GMT+0530 (India Standard Time),826.85,841.45,826.85,841.45,60,465
Tue Jul 25 2023 15:15:00 GMT+0530 (India Standard Time),877.6,877.6,862.05,862.05,30,480
Wed Jul 26 2023 09:30:00 GMT+0530 (India Standard Time),853.65,860.4,829,860.4,107,435
Wed Jul 26 2023 09:45:00 GMT+0530 (India Standard Time),839.4,839.4,839.4,839.4,15,435
Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time),907.9,907.9,907.9,907.9,45,450
Wed Jul 26 2023 10:30:00 GMT+0530 (India Standard Time),912.1,912.1,912.1,912.1,30,480
Wed Jul 26 2023 11:00:00 GMT+0530 (India Standard Time),868.05,872.45,868.05,872.45,45,495
