www.gocharting.com

date,open,high,low,close,volume,open_interest
"Mon Jul 17 2023 09:15:00 GMT+0530 (India Standard Time)","635.7","635.7","410","410","91","60",
"Mon Jul 17 2023 10:15:00 GMT+0530 (India Standard Time)","410","410","410","410","15","60",
"Mon Jul 17 2023 14:15:00 GMT+0530 (India Standard Time)","598.1","610","598.1","610","45","90",
"Mon Jul 17 2023 15:15:00 GMT+0530 (India Standard Time)","640.65","640.65","640.65","640.65","15","60",
"Tue Jul 18 2023 09:15:00 GMT+0530 (India Standard Time)","1083.1","1083.1","941","941","31","60",
"Wed Jul 19 2023 12:15:00 GMT+0530 (India Standard Time)","769","769","769","769","31","90",
"Wed Jul 19 2023 13:15:00 GMT+0530 (India Standard Time)","750","750","750","750","15","105",
"Wed Jul 19 2023 14:15:00 GMT+0530 (India Standard Time)","750","750","727.45","727.45","45","135",
"Thu Jul 20 2023 09:15:00 GMT+0530 (India Standard Time)","810","844.2","810","844.2","31","150",
"Thu Jul 20 2023 10:15:00 GMT+0530 (India Standard Time)","844.2","844.2","844.2","844.2","15","165",
"Thu Jul 20 2023 11:15:00 GMT+0530 (India Standard Time)","800","800","800","800","15","165",
"Thu Jul 20 2023 13:15:00 GMT+0530 (India Standard Time)","960","1071.35","960","1071.35","105","150",
"Thu Jul 20 2023 14:15:00 GMT+0530 (India Standard Time)","1075","1075","999.95","1000","390","210",
"Thu Jul 20 2023 15:15:00 GMT+0530 (India Standard Time)","1032.7","1032.7","1032.7","1032.7","105","540",
"Fri Jul 21 2023 09:15:00 GMT+0530 (India Standard Time)","1096","1135","1060","1060","151","540",
"Fri Jul 21 2023 11:15:00 GMT+0530 (India Standard Time)","990","990","990","990","15","540",
"Fri Jul 21 2023 12:15:00 GMT+0530 (India Standard Time)","990","1015","990","995","510","570",
"Fri Jul 21 2023 13:15:00 GMT+0530 (India Standard Time)","1120","1120","1120","1120","15","585",
"Fri Jul 21 2023 14:15:00 GMT+0530 (India Standard Time)","1044.8","1047","975","1047","510","465",
"Mon Jul 24 2023 09:15:00 GMT+0530 (India Standard Time)","1000","1000","1000","1000","31","465",
"Mon Jul 24 2023 10:15:00 GMT+0530 (India Standard Time)","1050","1050","1050","1050","15","465",
"Mon Jul 24 2023 12:15:00 GMT+0530 (India Standard Time)","1050","1050","900","900","225","360",
"Mon Jul 24 2023 13:15:00 GMT+0530 (India Standard Time)","941","941","941","941","30","465",
"Tue Jul 25 2023 10:15:00 GMT+0530 (India Standard Time)","964.1","964.1","872","872","271","405",
"Tue Jul 25 2023 11:15:00 GMT+0530 (India Standard Time)","861","861","850","850","285","390",
"Tue Jul 25 2023 13:15:00 GMT+0530 (India Standard Time)","770.35","770.35","732.85","764","375","705",
"Tue Jul 25 2023 14:15:00 GMT+0530 (India Standard Time)","795.3","882.4","795.2","841.45","630","465",
"Tue Jul 25 2023 15:15:00 GMT+0530 (India Standard Time)","877.6","877.6","862.05","862.05","30","480",
"Wed Jul 26 2023 09:15:00 GMT+0530 (India Standard Time)","853.65","860.4","829","839.4","122","435",
"Wed Jul 26 2023 10:15:00 GMT+0530 (India Standard Time)","907.9","912.1","868.05","872.45","120","495",
"Wed Jul 26 2023 11:15:00 GMT+0530 (India Standard Time)","850.55","850.55","850.55","850.55","15","540",
"Wed Jul 26 2023 13:15:00 GMT+0530 (India Standard Time)","921.05","932.95","921.05","932.95","60","525",
"Wed Jul 26 2023 14:15:00 GMT+0530 (India Standard Time)","933","934","926","934","360","810",
"Wed Jul 26 2023 15:15:00 GMT+0530 (India Standard Time)","934","934.1","934","934.1","45","795",
"Thu Jul 27 2023 09:15:00 GMT+0530 (India Standard Time)","1039.95","1039.95","966.35","1036.05","121","780",
"Thu Jul 27 2023 10:15:00 GMT+0530 (India Standard Time)","1070.75","1088.95","946.7","946.7","270","870",
"Thu Jul 27 2023 11:15:00 GMT+0530 (India Standard Time)","877.55","877.55","860","870","90","855",
"Thu Jul 27 2023 12:15:00 GMT+0530 (India Standard Time)","838.4","850.3","821.55","848.3","660","1125",
"Thu Jul 27 2023 13:15:00 GMT+0530 (India Standard Time)","882.05","882.05","780.05","835","810","1515",
"Thu Jul 27 2023 14:15:00 GMT+0530 (India Standard Time)","840.2","840.2","716.9","755.7","510","2010",
"Thu Jul 27 2023 15:15:00 GMT+0530 (India Standard Time)","791.4","791.4","791.4","791.4","45","2010",
"Fri Jul 28 2023 09:15:00 GMT+0530 (India Standard Time)","693.65","693.65","553.2","569.95","4981","4785",
"Fri Jul 28 2023 10:15:00 GMT+0530 (India Standard Time)","560","597.5","540","556.25","2355","5865",
"Fri Jul 28 2023 11:15:00 GMT+0530 (India Standard Time)","551.2","573.45","528.6","556.35","4305","6765",
"Fri Jul 28 2023 12:15:00 GMT+0530 (India Standard Time)","548.6","552","518","536","2205","7380",
"Fri Jul 28 2023 13:15:00 GMT+0530 (India Standard Time)","532.9","532.95","478","499.65","2445","8280",
"Fri Jul 28 2023 14:15:00 GMT+0530 (India Standard Time)","509.95","582.35","489","574.8","4200","7800",
"Fri Jul 28 2023 15:15:00 GMT+0530 (India Standard Time)","574","578.9","546.65","557.15","1320","8115",
"Mon Jul 31 2023 09:15:00 GMT+0530 (India Standard Time)","565.55","565.55","515.45","550","7337","10200",
"Mon Jul 31 2023 10:15:00 GMT+0530 (India Standard Time)","560","598","540","583.4","6690","11325",
"Mon Jul 31 2023 11:15:00 GMT+0530 (India Standard Time)","576.1","594.35","565.95","587.6","8940","17580",
"Mon Jul 31 2023 12:15:00 GMT+0530 (India Standard Time)","576.35","592.05","550","592","3300","18570",
