www.gocharting.com

date,open,high,low,close,volume,open_interest
"Fri Jul 21 2023 12:00:00 GMT+0530 (India Standard Time)","786.25","786.25","786.25","786.25","16","",
"Fri Jul 21 2023 12:15:00 GMT+0530 (India Standard Time)","712","712","690.6","690.6","60","45",
"Fri Jul 21 2023 12:30:00 GMT+0530 (India Standard Time)","690.6","696.25","690.6","693.9","135","75",
"Fri Jul 21 2023 12:45:00 GMT+0530 (India Standard Time)","753.5","753.5","753.5","753.5","15","210",
"Fri Jul 21 2023 13:00:00 GMT+0530 (India Standard Time)","745","745","745","745","15","225",
"Fri Jul 21 2023 13:15:00 GMT+0530 (India Standard Time)","769.8","780","769.8","780","120","225",
"Fri Jul 21 2023 14:00:00 GMT+0530 (India Standard Time)","755","755","755","755","15","300",
"Fri Jul 21 2023 14:15:00 GMT+0530 (India Standard Time)","719.2","750.75","719.2","749.5","45","315",
"Fri Jul 21 2023 15:00:00 GMT+0530 (India Standard Time)","753.2","753.2","753.2","753.2","15","330",
"Fri Jul 21 2023 15:15:00 GMT+0530 (India Standard Time)","732.35","746.1","732.35","746.1","75","330",
"Mon Jul 24 2023 09:15:00 GMT+0530 (India Standard Time)","745","745","690","690","256","585",
"Mon Jul 24 2023 09:30:00 GMT+0530 (India Standard Time)","690","750.2","690","697.65","585","615",
"Mon Jul 24 2023 09:45:00 GMT+0530 (India Standard Time)","691.55","699.6","681.05","681.05","360","1185",
"Mon Jul 24 2023 10:00:00 GMT+0530 (India Standard Time)","697.45","707.8","694.4","707.8","90","1200",
"Mon Jul 24 2023 10:15:00 GMT+0530 (India Standard Time)","712.65","745","712.65","740.4","90","1215",
"Mon Jul 24 2023 10:30:00 GMT+0530 (India Standard Time)","770.4","777.4","767.65","767.65","60","1140",
"Mon Jul 24 2023 11:00:00 GMT+0530 (India Standard Time)","746.4","746.4","746.4","746.4","15","1125",
"Mon Jul 24 2023 11:15:00 GMT+0530 (India Standard Time)","748.05","748.05","737.85","737.85","30","1140",
"Mon Jul 24 2023 11:30:00 GMT+0530 (India Standard Time)","759","759","675","675","405","1275",
"Mon Jul 24 2023 11:45:00 GMT+0530 (India Standard Time)","676","676","607","607","420","1545",
"Mon Jul 24 2023 12:00:00 GMT+0530 (India Standard Time)","607","622.1","607","620","300","1785",
"Mon Jul 24 2023 12:15:00 GMT+0530 (India Standard Time)","631.85","651.25","613.2","620.85","1380","2985",
