www.gocharting.com

date,open,high,low,close,volume,open_interest
"Fri Jul 21 2023 09:20:00 GMT+0530 (India Standard Time)","601.6","601.6","601.6","601.6","16","",
"Fri Jul 21 2023 09:25:00 GMT+0530 (India Standard Time)","595","595","595","595","240","45",
"Fri Jul 21 2023 09:30:00 GMT+0530 (India Standard Time)","624.8","624.8","562.3","590.45","420","210",
"Fri Jul 21 2023 09:35:00 GMT+0530 (India Standard Time)","540","540","540","540","30","210",
"Fri Jul 21 2023 09:40:00 GMT+0530 (India Standard Time)","525","525","525","525","15","225",
"Fri Jul 21 2023 09:50:00 GMT+0530 (India Standard Time)","525","525","525","525","15","240",
"Fri Jul 21 2023 10:00:00 GMT+0530 (India Standard Time)","535","535","535","535","15","255",
"Fri Jul 21 2023 10:45:00 GMT+0530 (India Standard Time)","504.55","504.55","504.55","504.55","15","255",
"Fri Jul 21 2023 11:35:00 GMT+0530 (India Standard Time)","494.3","494.3","494.3","494.3","15","255",
"Fri Jul 21 2023 12:15:00 GMT+0530 (India Standard Time)","480","480","480","480","15","255",
"Fri Jul 21 2023 12:25:00 GMT+0530 (India Standard Time)","461.9","461.9","461.9","461.9","30","270",
"Fri Jul 21 2023 13:25:00 GMT+0530 (India Standard Time)","538.05","538.05","538.05","538.05","15","285",
"Fri Jul 21 2023 13:30:00 GMT+0530 (India Standard Time)","527.75","527.75","527.75","527.75","15","300",
"Fri Jul 21 2023 13:40:00 GMT+0530 (India Standard Time)","530","530","530","530","225","285",
"Fri Jul 21 2023 13:55:00 GMT+0530 (India Standard Time)","553","553","553","553","15","495",
"Fri Jul 21 2023 14:00:00 GMT+0530 (India Standard Time)","550.3","550.3","500","500","45","525",
"Fri Jul 21 2023 14:30:00 GMT+0530 (India Standard Time)","483.6","499","483.6","499","45","570",
"Fri Jul 21 2023 14:35:00 GMT+0530 (India Standard Time)","495","495","495","495","60","570",
"Fri Jul 21 2023 14:40:00 GMT+0530 (India Standard Time)","482","482","482","482","45","630",
"Fri Jul 21 2023 14:45:00 GMT+0530 (India Standard Time)","477","494.55","477","494.55","30","675",
"Fri Jul 21 2023 14:50:00 GMT+0530 (India Standard Time)","466.2","468.3","466.2","468.3","285","855",
"Fri Jul 21 2023 14:55:00 GMT+0530 (India Standard Time)","452.7","452.7","452.7","452.7","195","990",
"Fri Jul 21 2023 15:00:00 GMT+0530 (India Standard Time)","447.4","456.45","447.4","456.45","180","1335",
"Fri Jul 21 2023 15:05:00 GMT+0530 (India Standard Time)","454.15","454.15","454.15","454.15","30","1335",
"Fri Jul 21 2023 15:10:00 GMT+0530 (India Standard Time)","499.5","499.5","476.75","476.75","150","1395",
"Fri Jul 21 2023 15:15:00 GMT+0530 (India Standard Time)","500","500","500","500","15","1395",
"Fri Jul 21 2023 15:20:00 GMT+0530 (India Standard Time)","494.05","496","494.05","495.65","210","1380",
"Fri Jul 21 2023 15:25:00 GMT+0530 (India Standard Time)","500","510","500","510","135","1335",
"Mon Jul 24 2023 09:15:00 GMT+0530 (India Standard Time)","482.25","482.25","449.15","449.15","31","1260",
"Mon Jul 24 2023 09:20:00 GMT+0530 (India Standard Time)","449.15","455","449.15","455","30","1275",
"Mon Jul 24 2023 09:25:00 GMT+0530 (India Standard Time)","455","469.35","455","469.35","150","1380",
"Mon Jul 24 2023 09:30:00 GMT+0530 (India Standard Time)","491.25","491.25","491.25","491.25","15","1380",
"Mon Jul 24 2023 09:35:00 GMT+0530 (India Standard Time)","491.25","491.25","491.25","491.25","210","1380",
"Mon Jul 24 2023 09:45:00 GMT+0530 (India Standard Time)","463.65","463.65","463.65","463.65","15","1590",
"Mon Jul 24 2023 09:55:00 GMT+0530 (India Standard Time)","453.9","453.9","453.9","453.9","15","1605",
"Mon Jul 24 2023 10:10:00 GMT+0530 (India Standard Time)","463.45","463.45","463.45","463.45","105","1620",
"Mon Jul 24 2023 10:20:00 GMT+0530 (India Standard Time)","463.45","470","463.45","470","60","1680",
"Mon Jul 24 2023 10:25:00 GMT+0530 (India Standard Time)","493.35","493.35","493.35","493.35","15","1680",
"Mon Jul 24 2023 10:30:00 GMT+0530 (India Standard Time)","518.05","518.05","518.05","518.05","15","1665",
"Mon Jul 24 2023 10:40:00 GMT+0530 (India Standard Time)","518.1","518.1","518.1","518.1","15","1680",
"Mon Jul 24 2023 11:30:00 GMT+0530 (India Standard Time)","518.1","518.1","518.1","518.1","15","1695",
"Mon Jul 24 2023 11:50:00 GMT+0530 (India Standard Time)","416.95","416.95","396.2","396.2","135","1815",
"Mon Jul 24 2023 12:00:00 GMT+0530 (India Standard Time)","396.2","396.2","396.2","396.2","210","1800",
"Mon Jul 24 2023 12:05:00 GMT+0530 (India Standard Time)","401.25","411.3","399.65","399.65","45","1815",
"Mon Jul 24 2023 12:20:00 GMT+0530 (India Standard Time)","419.15","419.15","419.15","419.15","15","1845",
"Mon Jul 24 2023 13:05:00 GMT+0530 (India Standard Time)","440.15","440.15","440.15","440.15","15","1845",
"Mon Jul 24 2023 13:20:00 GMT+0530 (India Standard Time)","462.2","462.2","462.2","462.2","15","1860",
"Mon Jul 24 2023 13:50:00 GMT+0530 (India Standard Time)","419.35","419.35","419.35","419.35","45","1875",
"Mon Jul 24 2023 14:40:00 GMT+0530 (India Standard Time)","436.35","436.35","436.35","436.35","15","1905",
"Mon Jul 24 2023 14:55:00 GMT+0530 (India Standard Time)","420.35","426.95","420.35","426.95","30","1920",
"Mon Jul 24 2023 15:00:00 GMT+0530 (India Standard Time)","409.25","409.25","409.25","409.25","75","1920",
