www.gocharting.com

date,open,high,low,close,volume,open_interest
"Wed Aug 23 2023 15:15:00 GMT+0530 (India Standard Time)","158","158","80.95","80.95","196","75",
"Thu Aug 24 2023 09:15:00 GMT+0530 (India Standard Time)","110","142.9","107.1","140.5","15197","9315",
"Thu Aug 24 2023 09:30:00 GMT+0530 (India Standard Time)","139.55","160","129.85","160","20415","18840",
"Thu Aug 24 2023 09:45:00 GMT+0530 (India Standard Time)","161.15","201.1","161.15","179.1","37530","29055",
"Thu Aug 24 2023 10:00:00 GMT+0530 (India Standard Time)","179.5","181.2","165.35","180.45","8325","31560",
"Thu Aug 24 2023 10:15:00 GMT+0530 (India Standard Time)","181.1","184.8","162","167.95","8100","33960",
"Thu Aug 24 2023 10:30:00 GMT+0530 (India Standard Time)","166","166.85","154.05","157.5","6345","34815",
"Thu Aug 24 2023 10:45:00 GMT+0530 (India Standard Time)","161","170","135.65","139.5","10320","38400",
"Thu Aug 24 2023 11:00:00 GMT+0530 (India Standard Time)","138","143.85","122.55","130.4","9375","39945",
"Thu Aug 24 2023 11:15:00 GMT+0530 (India Standard Time)","130.5","134.75","125.05","134.1","6570","40905",
"Thu Aug 24 2023 11:30:00 GMT+0530 (India Standard Time)","132.7","140.6","126.9","139.45","4260","41610",
"Thu Aug 24 2023 11:45:00 GMT+0530 (India Standard Time)","139.95","141.9","124.35","131.15","11115","43710",
"Thu Aug 24 2023 12:00:00 GMT+0530 (India Standard Time)","131.45","132.4","114.4","119.65","15585","46470",
"Thu Aug 24 2023 12:15:00 GMT+0530 (India Standard Time)","121.3","121.3","112.2","116.15","22365","54630",
"Thu Aug 24 2023 12:30:00 GMT+0530 (India Standard Time)","115","130.35","115","127.2","7860","55425",
"Thu Aug 24 2023 12:45:00 GMT+0530 (India Standard Time)","126.1","127.65","117","118.4","11250","56325",
"Thu Aug 24 2023 13:00:00 GMT+0530 (India Standard Time)","119.05","119.65","110.55","110.7","10545","57735",
"Thu Aug 24 2023 13:15:00 GMT+0530 (India Standard Time)","113.75","116.4","106.35","111.3","8535","57405",
"Thu Aug 24 2023 13:30:00 GMT+0530 (India Standard Time)","111.8","115.75","104","106.9","12465","61845",
"Thu Aug 24 2023 13:45:00 GMT+0530 (India Standard Time)","109.2","115.9","107.75","107.75","3180","61710",
"Thu Aug 24 2023 14:00:00 GMT+0530 (India Standard Time)","107.7","115.15","107.05","114.3","9720","63360",
