www.gocharting.com

date,open,high,low,close,volume,open_interest
"Fri Aug 11 2023 09:50:00 GMT+0530 (India Standard Time)","344.6","344.6","344.6","344.6","16","",
"Fri Aug 11 2023 10:05:00 GMT+0530 (India Standard Time)","206.8","206.8","148.45","148.45","30","30",
"Fri Aug 11 2023 10:25:00 GMT+0530 (India Standard Time)","148.45","148.45","148.45","148.45","15","30",
"Fri Aug 11 2023 10:35:00 GMT+0530 (India Standard Time)","174.15","174.15","174.15","174.15","45","45",
"Fri Aug 11 2023 10:45:00 GMT+0530 (India Standard Time)","181.85","181.85","181.85","181.85","45","90",
"Fri Aug 11 2023 10:50:00 GMT+0530 (India Standard Time)","166.25","166.25","166.25","166.25","15","90",
"Fri Aug 11 2023 11:50:00 GMT+0530 (India Standard Time)","172.65","172.65","172.65","172.65","15","150",
"Fri Aug 11 2023 11:55:00 GMT+0530 (India Standard Time)","164.1","164.1","164.1","164.1","15","150",
"Fri Aug 11 2023 12:55:00 GMT+0530 (India Standard Time)","183.45","183.45","183.45","183.45","15","150",
"Fri Aug 11 2023 13:05:00 GMT+0530 (India Standard Time)","144.05","144.05","144.05","144.05","15","135",
"Fri Aug 11 2023 13:25:00 GMT+0530 (India Standard Time)","144.05","144.05","144.05","144.05","30","120",
"Fri Aug 11 2023 13:50:00 GMT+0530 (India Standard Time)","167","167","167","167","15","120",
"Fri Aug 11 2023 14:10:00 GMT+0530 (India Standard Time)","169.6","170","169.6","170","45","135",
"Fri Aug 11 2023 14:15:00 GMT+0530 (India Standard Time)","170","170","170","170","15","90",
"Fri Aug 11 2023 14:20:00 GMT+0530 (India Standard Time)","165","165","165","165","15","105",
"Mon Aug 14 2023 12:20:00 GMT+0530 (India Standard Time)","385.4","385.4","259.7","259.7","76","135",
"Mon Aug 14 2023 12:35:00 GMT+0530 (India Standard Time)","265.2","265.2","262","262","180","195",
"Mon Aug 14 2023 12:40:00 GMT+0530 (India Standard Time)","262","262","262","262","15","315",
"Mon Aug 14 2023 12:45:00 GMT+0530 (India Standard Time)","251.15","251.15","251.15","251.15","15","330",
"Mon Aug 14 2023 12:50:00 GMT+0530 (India Standard Time)","251.15","251.15","251.15","251.15","15","315",
"Mon Aug 14 2023 13:10:00 GMT+0530 (India Standard Time)","258.35","258.35","258.35","258.35","15","300",
"Mon Aug 14 2023 13:30:00 GMT+0530 (India Standard Time)","249.1","249.1","249.1","249.1","15","285",
