www.gocharting.com

date,open,high,low,close,volume,open_interest
"Wed Aug 23 2023 15:20:00 GMT+0530 (India Standard Time)","158","158","158","158","16","",
"Wed Aug 23 2023 15:25:00 GMT+0530 (India Standard Time)","133.2","133.2","80.95","80.95","180","75",
"Thu Aug 24 2023 09:15:00 GMT+0530 (India Standard Time)","110","128.75","107.1","127.6","5237","1350",
"Thu Aug 24 2023 09:20:00 GMT+0530 (India Standard Time)","130","142.9","130","137.3","4665","6555",
"Thu Aug 24 2023 09:25:00 GMT+0530 (India Standard Time)","133.2","140.5","133.2","140.5","5295","9315",
"Thu Aug 24 2023 09:30:00 GMT+0530 (India Standard Time)","139.55","139.55","129.85","133.75","6810","11820",
"Thu Aug 24 2023 09:35:00 GMT+0530 (India Standard Time)","135.2","144.95","132.75","143.55","3810","13860",
"Thu Aug 24 2023 09:40:00 GMT+0530 (India Standard Time)","143","160","140.9","160","9795","18840",
"Thu Aug 24 2023 09:45:00 GMT+0530 (India Standard Time)","161.15","201.1","161.15","183.55","20820","26175",
"Thu Aug 24 2023 09:50:00 GMT+0530 (India Standard Time)","186.05","187.2","175.8","187.2","8805","29910",
"Thu Aug 24 2023 09:55:00 GMT+0530 (India Standard Time)","184.75","185.65","174.35","179.1","7905","29055",
"Thu Aug 24 2023 10:00:00 GMT+0530 (India Standard Time)","179.5","180","165.35","165.65","3570","29610",
"Thu Aug 24 2023 10:05:00 GMT+0530 (India Standard Time)","167.95","172.95","165.65","168.8","1515","30150",
"Thu Aug 24 2023 10:10:00 GMT+0530 (India Standard Time)","169.65","181.2","166.65","180.45","3240","31560",
"Thu Aug 24 2023 10:15:00 GMT+0530 (India Standard Time)","181.1","184.8","181.1","182","4095","32565",
"Thu Aug 24 2023 10:20:00 GMT+0530 (India Standard Time)","183.85","183.85","162","168.2","2070","33165",
"Thu Aug 24 2023 10:25:00 GMT+0530 (India Standard Time)","172.5","173.85","165.9","167.95","1935","33960",
"Thu Aug 24 2023 10:30:00 GMT+0530 (India Standard Time)","166","166.85","154.05","158.75","2295","34500",
"Thu Aug 24 2023 10:35:00 GMT+0530 (India Standard Time)","159.9","159.9","154.75","156","1320","34410",
"Thu Aug 24 2023 10:40:00 GMT+0530 (India Standard Time)","158.9","160","154.55","157.5","2730","34815",
"Thu Aug 24 2023 10:45:00 GMT+0530 (India Standard Time)","161","169.8","157.45","169.8","2190","35730",
"Thu Aug 24 2023 10:50:00 GMT+0530 (India Standard Time)","169.75","170","163.55","163.55","1950","36390",
